Year,Season,REALM,Metrics,values
1983,Summer,Central Indo-Pacific,meanMaxInt,1.7181324775353017
1983,Summer,Central Indo-Pacific,meanDuration,8.422336328626445
1983,Summer,Central Indo-Pacific,Number_Events,1558
1983,Summer,Eastern Indo-Pacific,meanCumInt,17.191353691275168
1983,Summer,Eastern Indo-Pacific,meanMaxInt,1.754403355704698
1983,Summer,Eastern Indo-Pacific,meanDuration,12.281879194630873
1983,Summer,Eastern Indo-Pacific,Number_Events,149
1983,Summer,Southern Ocean,meanCumInt,12.279644242424242
1983,Summer,Southern Ocean,meanMaxInt,1.0846700606060606
1983,Summer,Southern Ocean,meanDuration,14.287272727272727
1983,Summer,Southern Ocean,Number_Events,825
1983,Summer,Temperate Australasia,meanCumInt,19.361800606060605
1983,Summer,Temperate Australasia,meanMaxInt,2.1526678787878786
1983,Summer,Temperate Australasia,meanDuration,11.763636363636364
1983,Summer,Temperate Australasia,Number_Events,165
1983,Summer,Temperate Northern Atlantic,meanCumInt,20.42802927241963
1983,Summer,Temperate Northern Atlantic,meanMaxInt,2.7651504230118444
1983,Summer,Temperate Northern Atlantic,meanDuration,9.341793570219966
1983,Summer,Temperate Northern Atlantic,Number_Events,591
1983,Summer,Temperate Northern Pacific,meanCumInt,22.949689279869066
1983,Summer,Temperate Northern Pacific,meanMaxInt,2.6696744680851063
1983,Summer,Temperate Northern Pacific,meanDuration,9.791325695581016
1983,Summer,Temperate Northern Pacific,Number_Events,1222
1983,Summer,Temperate South America,meanCumInt,48.02069203821656
1983,Summer,Temperate South America,meanMaxInt,2.295802866242038
1983,Summer,Temperate South America,meanDuration,19.280254777070063
1983,Summer,Temperate South America,Number_Events,314
1983,Summer,Temperate Southern Africa,meanCumInt,12.2217
1983,Summer,Temperate Southern Africa,meanMaxInt,2.0309166666666667
1983,Summer,Temperate Southern Africa,meanDuration,7.166666666666667
1983,Summer,Temperate Southern Africa,Number_Events,18
1983,Summer,Tropical Atlantic,meanCumInt,10.771160215053763
1983,Summer,Tropical Atlantic,meanMaxInt,1.6638722580645162
1983,Summer,Tropical Atlantic,meanDuration,8.163440860215054
1983,Summer,Tropical Atlantic,Number_Events,465
